country,year,co2,coal_co2,cement_co2,gas_co2,oil_co2,methane,n2o,ghg,warmingimpact
Afghanistan,1950,7316018.5,21068,0,0,63203.996,8100568.5,2238381,19447178,0.00051970617
Afghanistan,1951,8263895,25648,0,0,65952,8233321,2299787.2,20457612,0.0005305209
Afghanistan,1952,9192133,31707.998,0,0,59892,8372900.5,2373210.5,21355526,0.0005418305
Afghanistan,1953,10268653,37949,0,0,68307,8528310,2454824.2,22361008,0.00055370847
Afghanistan,1954,11137241,42502,0,0,63754,8690891,2540803.5,23255826,0.0005661164
Afghanistan,1955,12247323,62288,0,0,91600,8897302,2627322.5,24422820,0.0005792463
Afghanistan,1956,13192599,62288,0,0,120912,9110372,2710555.2,25502322,0.0005929964
Afghanistan,1957,14252960,76944,0,0,216176,9416360,2786676.8,26746322,0.0006075866
Afghanistan,1958,15313468,91600,0,0,238160,9649289,2851860.8,28018730,0.00062291225
Afghanistan,1959,16017431,109920,18171,0,256480.02,9889788,2902281.8,29051754,0.00063887594
Afghanistan,1960,17857492,127115,18012,0,268758,10136679,2934114.5,28796224,0.000654906
Afghanistan,1961,15286762,175872,21806,0,293120,9611491,2926626.2,26206940,0.00066870183
Afghanistan,1962,14061571,296784,29074,0,362736,9901791,2900860.8,25670960,0.00068247906
Afghanistan,1963,13499519,263808,50880,0,392048,10252732,2951644.8,25746676,0.0006966072
Afghanistan,1964,10881465,300448,61783,0,476320,10526368,3014775.2,24624578,0.0007104225
Afghanistan,1965,11388678,381056,83589,0,542272,10852992,3086791,25369764,0.00072486105
Afghanistan,1966,10250243,428688,87223,0,575248,11273417,3165296,25136322,0.00073962926
Afghanistan,1967,8686992,399376,65417,260144,556928,11615753,3248057.2,24592972,0.0007545322
Afghanistan,1968,8133182,332429,47105,347041,496817,11906266,3393066,24490778,0.00076961325
Afghanistan,1969,7225029,362736,50880,0,527616,11485554,3381683.5,23201506,0.0007831938
Afghanistan,1970,8153442,436974,47350,216651,671986,11688573,3401559.2,24119564,0.0007971257
Afghanistan,1971,7620825.5,359072,43234,439680,747456,11668525,3367005.8,23612348,0.000810544
Afghanistan,1972,6730149.5,190528,46427,300448,626544,10275999,2628721.5,20492942,0.0008200839
Afghanistan,1973,6039179,310745,67106,332680,701918,10640645,2910836.8,20667886,0.000829984
Afghanistan,1974,5880165,304695,70301,400141,770914,11243298,3166882,21276986,0.00084080343
Afghanistan,1975,5731778.5,398689,69417,475500,874189,11847716,3433209.2,21901196,0.0008524682
Afghanistan,1976,5285530.5,425024,79243,300448,883024,11924850,3531872.5,21623994,0.0008637238
Afghanistan,1977,5391293,450672,64862.996,512960.03,974624,11751362,3467106.5,21516812,0.00087407226
Afghanistan,1978,4785554,576226,57598,300959,935909,11748946,3413276.8,20886604,0.00088368857
Afghanistan,1979,4989584,351744,63666,384720,1165152,11527685,3315020.8,20563752,0.0008923498
Afghanistan,1980,4337956,315762,23284,187254,925256,11656789,3350723,20067964,0.0009005213
Afghanistan,1981,4674764,333424,32879,304112,1014928,11608464,3321058.8,20145368,0.00090965326
Afghanistan,1982,4264145,384720,39077,395712,992944,11493597,3367748.2,19829986,0.00091790716
Afghanistan,1983,4638845,384720,6450,615552,1220112,11019063,3172012.5,19464910,0.00092457474
Afghanistan,1984,4670138,392556,47963,931863,1133644,10075675,3005408.5,18387200,0.0009287394
Afghanistan,1985,5068661.5,399794,31652,1192046,1547825,9336927,2794153.2,17890342,0.000930886
Afghanistan,1986,4399997,425024,37565,1201792,1139504,8130586.5,2388892.5,15693340,0.00092932873
Afghanistan,1987,4130512.8,442824,43334,391588,2012837.9,8149493,2592265.5,15698860,0.0009271506
Afghanistan,1988,3857058,366400,42944,439680,1821008,8332127.5,2699385.5,15687946,0.00092470273
Afghanistan,1989,3673966.8,337088,42503,479984,1864976,7831665.5,2684144.8,14935822,0.0009219257
Afghanistan,1990,2185065.8,278464,45766,403040,1271408,7859639.5,2644894,13891684,0.00091833534
Afghanistan,1991,1915436.9,249627,45766,389125,1204085,8221451.5,2720010.8,14177515,0.00091548555
Afghanistan,1992,-178580.75,21984,45766,362736,1029584.06,8377087,2665993.8,12514042,0.0009147906
Afghanistan,1993,-2575150.5,18320,46991,351744,1047904,8579005,2704724.8,11803789,0.0009134001
Afghanistan,1994,-1994471.2,14693,46991,337935,1032171,8974167,2551824.5,12282003,0.00091170124
Afghanistan,1995,-1051219.8,14656,46991,322432,1011263.94,9504537,2671999.8,13318770,0.00091015664
Afghanistan,1996,1356034.2,7328,47400,307776,985616,10505973,2899470.2,15723104,0.000911135
Afghanistan,1997,4952543,3664,47400,282128,948976,11334331,3186360.8,18583560,0.0009150457
Afghanistan,1998,978678.9,3664,47400,263808,941648,11975764,3452545.5,17580540,0.000919526
Afghanistan,1999,1858735,3664,47400,241824,776768,12904239,3698630.2,19207622,0.0009266331
Afghanistan,2000,1104103.1,3664,10216,223504,787760,11642741,3220794.2,16954712,0.00093047955
Afghanistan,2001,1839673.8,69616,6538,208848,762112,10357091,2851813,15772437,0.0009318479
Afghanistan,2002,6115077.5,55109,11033,547416,727438,12464404,3297560.8,20735294,0.0009390107
Afghanistan,2003,5924708.5,91813,9807,466408,991575,12859437,3432807.2,21422782,0.0009480149
Afghanistan,2004,3352217.8,91600,9807,227168,908672,12921863,3410336.2,20056680,0.00095830305
Afghanistan,2005,2780482,106256,6211,329760,1447280,13274594,3559030,20766370,0.0009708797
Afghanistan,2006,3128043,160944,12177,329204,1656993,13566204,3415979.2,21007200,0.000986329
Afghanistan,2007,3564769,747456,11605,307776,1733072,13973930,3362551.2,21890054,0.0010027861
Afghanistan,2008,4887396.5,1078145,15242,297040,2864051,15252504,3662465.5,24753586,0.001022211
Afghanistan,2009,6903749,1514100,12872,271291,4593624,15659943,3964200.2,27461910,0.0010444564
Afghanistan,2010,8516273,2246032,14547,271136,5833088,17641274,4382266.5,31580838,0.001071644
Afghanistan,2011,11931125,4180624,14588,307776,7335328,18204690,4515846.5,35633880,0.0011008594
Afghanistan,2012,10085108,3125392,28930,307776,6573216,18094412,4532039,33621660,0.001128697
Afghanistan,2013,9209831,3302577,35550,296902,5593488,18228324,4543767.5,32971018,0.0011560684
Afghanistan,2014,9040640,3621491,28644,271245,5164657,18682972,4819275,33680890,0.0011837261
Afghanistan,2015,9803367,2722352,41189,282128,6624512,18048024,4798486.5,33568844,0.0012093148
Afghanistan,2016,9107790,2717565,76126,318636,5794053,18125100,4766826,33088200,0.0012328982
Afghanistan,2017,14572912,3257296,44785,300448,6074912,18182184,4969331.5,36573804,0.001256561
Afghanistan,2018,13307748,3633429,56880,293019,6618555,18740790,4875878.5,36747790,0.0012799636
Afghanistan,2019,19743468,3700640,38329,245488,6840688,18733696,4627968,39145256,0.001302663
Afghanistan,2020,16833028,4115975,60674,153937,7275343,18086402,4539375.5,37833400,0.0013261527
Afghanistan,2021,22036216,3396528,16345,157552,6701456,18751296,4386595.5,38313156,0.0013533658
Afghanistan,2022,25862772,3531304,16345,148278,6861876,18825868,4367949,39485036,0.0013772035
Albania,1950,4363105.5,43432,7180,0,246114,1670960.2,559187.2,4807795,0.00010717403
Albania,1951,4856646.5,73280,7269,10992,311440,1729707.2,569797.4,5201947.5,0.000109997796
Albania,1952,5390711,76197,7198,10885,279389,1765139.4,579261.56,5570485,0.000113031674
Albania,1953,5652320.5,113584,7269,18320,274800,1815868.2,587788.1,5826075.5,0.00011624616
Albania,1954,6113032,157552,7269,29312,307776,1884732.1,595585.1,6205071.5,0.000119728684
Albania,1955,6583150.5,219840,21806,36640,384720,1970068.8,602860.94,6603316.5,0.0001235087
Albania,1956,7069640.5,249152,32708.998,47632,509296,2071658.6,609823.6,7062397.5,0.00012757225
Albania,1957,8106156.5,274800,36343,58624,1135840,2325516.8,616681.56,8228677.5,0.00013244465
Albania,1958,8050726.5,289456,39977,65952,806080,2300017.5,623642.8,8068413.5,0.00013713431
Albania,1959,9807902,337088,36343,76944,992944,2438220.2,630915.75,9796621,0.00014272187
Albania,1960,8810194,326096,36343,84272,1575520,2700907,638708.5,8963375,0.00014818969
Albania,1961,7992248,321914,58055,84137,1814427,2672880,696021.2,8305684.5,0.00015328721
Albania,1962,7731151,362736,58149,84272,1956576,2745607.2,700323.9,8139223.5,0.00015830893
Albania,1963,6795855.5,282128,65417,84272,1648800,2638232,694245.9,7120079,0.00016276495
Albania,1964,7574888,333424,61783,84272,1535216,2618537.2,704571.56,7751528,0.00016754634
Albania,1965,7840953.5,395046,72563,84130,1620419,2775736.5,744489.94,8271145.5,0.00017278153
Albania,1966,8148940.5,477005,69151,102740,1900683,2882739.8,755254.7,8811016,0.00017823456
Albania,1967,7738539.5,523952,109029,128240.01,1916272,2926697.2,789612.4,8605448,0.00018340873
Albania,1968,8037671,589904,149006,146560,2183744,2913165,812622.25,8933522,0.00018875865
Albania,1969,8165389,688832,163543,168544,2220384,2924939.8,785548.75,9063794,0.00019398474
Albania,1970,8153543.5,891225,178255,187047,2482960,2981140.5,816147.7,9391573,0.00019975095
Albania,1971,8561623,989280,178391,241824,2938528,2934476,843025.5,9818439,0.00020552332
Albania,1972,9477922,1080880,196937,278464,4081696,3180447.8,847327.5,11089876,0.00021219054
Albania,1973,9015735,1168816,255734,366400,3495456,3231323.8,870992.8,10689287,0.00021866121
Albania,1974,7485993.5,1210141,278371,429050,2423950,3134073.8,891088.06,9281565,0.00022421237
Albania,1975,8381250,1260416,322612,553264,2454880,3243413.8,896953.5,10013362,0.00023010357
Albania,1976,9623414,1272350,349136,671009,2654702,3422179.8,995140.06,11927514,0.00023694626
Albania,1977,9529735,1699007,374992,699376,2943969,3540674.8,1048297.5,11832399,0.00024344954
Albania,1978,9646425,2126321,401902,678223,3284799,3823948.5,1208912.5,12934224,0.00025094667
Albania,1979,10619046,2680752,424311,706810,3772097,3860294.2,1238252.2,13871449,0.00025865977
Albania,1980,7950824,2322976,502901.03,773104,1571856,3930132.5,1257804.5,11315087,0.0002648311
Albania,1981,9910651,2644087,396146,805678,3493711,3943826.5,1280750.6,13298025,0.00027197055
Albania,1982,9629227,2879904,419287,864704,3143712,4388525,1286301.2,13551663,0.00027979037
Albania,1983,10037507,3103408,423721,974624,3129056,4681848.5,1326157.9,14289615,0.00028861238
Albania,1984,9936953,3400192,435615,1044240,2945856,4333533,1350036.9,13953504,0.0002967685
Albania,1985,9897363,3722624,432628,970960,2755328,4261183,1321799.6,13866290,0.00030447065
Albania,1986,9931517,3707968,429629,1051568,2868912,4375827,1354354.5,14043896,0.00031223035
Albania,1987,9517168,3735456,438060,450894,2822670,4524065,1352789.8,13870321,0.00032006294
Albania,1988,8953693,4017755,378799,355586,2577082,4477272.5,1414256.1,13367100,0.0003276206
Albania,1989,10844953,4056048,386761,447008,4096352,4559606.5,1495457.9,15631999,0.00033630626
Albania,1990,7287822.5,2498848,383674,465328,2172752,4054786.8,1413757.9,11401768,0.00034217944
Albania,1991,5938952.5,1480256,307458,274800,2227712,4167132.2,1090290.8,9837252,0.00034761522
Albania,1992,3929991,799927,102659,198147,1416384,3372130.5,1031332.06,7078085,0.0003500789
Albania,1993,3297600.5,599947,102831,157303,1477918,3523247,1094783.6,6721277,0.0003525243
Albania,1994,2715889.5,168544,51502,98928,1604832,4108337,1311656.2,6685332.5,0.00035606662
Albania,1995,2671128.2,161216,103177,51296,1773376,4052124.8,1305029.9,6818155,0.00035937098
