country,year,co2,coal_co2,cement_co2,gas_co2,oil_co2,methane,n2o,ghg,warmingimpact
Afghanistan,1950,84272,21068,0,0,63203.996,8100568.5,2238381,19447178,0.000519706
Afghanistan,1951,91600,25648,0,0,65952,8233321,2299787.2,20457612,0.000530521
Afghanistan,1952,91600,31707.998,0,0,59892,8372900.5,2373210.5,21355526,0.000541831
Afghanistan,1953,106256,37949,0,0,68307,8528310,2454824.2,22361008,0.000553708
Afghanistan,1954,106256,42502,0,0,63754,8690891,2540803.5,23255826,0.000566116
Afghanistan,1955,153888,62288,0,0,91600,8897302,2627322.5,24422820,0.000579246
Afghanistan,1956,183200,62288,0,0,120912,9110372,2710555.2,25502322,0.000592996
Afghanistan,1957,293120,76944,0,0,216176,9416360,2786676.8,26746322,0.000607587
Afghanistan,1958,329760,91600,0,0,238160,9649289,2851860.8,28018730,0.000622912
Afghanistan,1959,384571,109920,18171,0,256480.02,9889788,2902281.8,29051754,0.000638876
Afghanistan,1960,413885,127115,18012,0,268758,10136679,2934114.5,28796224,0.000654906
Afghanistan,1961,490798,175872,21806,0,293120,9611491,2926626.2,26206940,0.000668702
Afghanistan,1962,688594,296784,29074,0,362736,9901791,2900860.8,25670960,0.000682479
Afghanistan,1963,706736,263808,50880,0,392048,10252732,2951644.8,25746676,0.000696607
Afghanistan,1964,838551,300448,61783,0,476320,10526368,3014775.2,24624578,0.000710423
Afghanistan,1965,1006917,381056,83589,0,542272,10852992,3086791,25369764,0.000724861
Afghanistan,1966,1091159,428688,87223,0,575248,11273417,3165296,25136322,0.000739629
Afghanistan,1967,1281865,399376,65417,260144,556928,11615753,3248057.2,24592972,0.000754532
Afghanistan,1968,1223391,332429,47105,347041,496817,11906266,3393066,24490778,0.000769613
Afghanistan,1969,941232,362736,50880,0,527616,11485554,3381683.5,23201506,0.000783194
Afghanistan,1970,1670397,436974,47350,216651,671986,11688573,3401559.2,24119564,0.000797126
Afghanistan,1971,1893554,359072,43234,439680,747456,11668525,3367005.8,23612348,0.000810544
Afghanistan,1972,1530347,190528,46427,300448,626544,10275999,2628721.5,20492942,0.000820084
Afghanistan,1973,1635454,310745,67106,332680,701918,10640645,2910836.8,20667886,0.000829984
Afghanistan,1974,1913152,304695,70301,400141,770914,11243298,3166882,21276986,0.000840803
Afghanistan,1975,2121383,398689,69417,475500,874189,11847716,3433209.2,21901196,0.000852468
Afghanistan,1976,1980859,425024,79243,300448,883024,11924850,3531872.5,21623994,0.000863724
Afghanistan,1977,2384175,450672,64862.996,512960.03,974624,11751362,3467106.5,21516812,0.000874072
Afghanistan,1978,2153300,576226,57598,300959,935909,11748946,3413276.8,20886604,0.000883689
Afghanistan,1979,2232754,351744,63666,384720,1165152,11527685,3315020.8,20563752,0.00089235
Afghanistan,1980,1756302,315762,23284,187254,925256,11656789,3350723,20067964,0.000900521
Afghanistan,1981,1978463,333424,32879,304112,1014928,11608464,3321058.8,20145368,0.000909653
Afghanistan,1982,2094580.9,384720,39077,395712,992944,11493597,3367748.2,19829986,0.000917907
Afghanistan,1983,2519954,384720,6450,615552,1220112,11019063,3172012.5,19464910,0.000924575
Afghanistan,1984,2821540,392556,47963,931863,1133644,10075675,3005408.5,18387200,0.000928739
Afghanistan,1985,3501422,399794,31652,1192046,1547825,9336927,2794153.2,17890342,0.000930886
Afghanistan,1986,3133645,425024,37565,1201792,1139504,8130586.5,2388892.5,15693340,0.000929329
Afghanistan,1987,3113826,442824,43334,391588,2012837.9,8149493,2592265.5,15698860,0.000927151
Afghanistan,1988,2856896,366400,42944,439680,1821008,8332127.5,2699385.5,15687946,0.000924703
Afghanistan,1989,2764855,337088,42503,479984,1864976,7831665.5,2684144.8,14935822,0.000921926
Afghanistan,1990,2024326.1,278464,45766,403040,1271408,7859639.5,2644894,13891684,0.000918335
Afghanistan,1991,1914301,249627,45766,389125,1204085,8221451.5,2720010.8,14177515,0.000915486
Afghanistan,1992,1482054,21984,45766,362736,1029584.06,8377087,2665993.8,12514042,0.000914791
Afghanistan,1993,1486943,18320,46991,351744,1047904,8579005,2704724.8,11803789,0.0009134
Afghanistan,1994,1453829,14693,46991,337935,1032171,8974167,2551824.5,12282003,0.000911701
Afghanistan,1995,1417327,14656,46991,322432,1011263.94,9504537,2671999.8,13318770,0.000910157
Afghanistan,1996,1370104,7328,47400,307776,985616,10505973,2899470.2,15723104,0.000911135
Afghanistan,1997,1304152,3664,47400,282128,948976,11334331,3186360.8,18583560,0.000915046
Afghanistan,1998,1278504,3664,47400,263808,941648,11975764,3452545.5,17580540,0.000919526
